UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic year,Financial year end,Category marker,Category,Value(£000s),Year End Month
10007805,The University of Strathclyde,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,9295,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-697,All
10007800,The University of the West of Scotland,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,3392,All
,Total,Scotland,Scotland,2016/17,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,36749,All
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,13417,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,13417,All
10007849,Abertay University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18784,"07, July"
10007849,Abertay University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18784,All
10007852,The University of Dundee,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15101,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15101,All
10007772,Edinburgh Napier University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18347,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,18347,All
10007790,The University of Edinburgh,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,100983,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,100983,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,27196,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,27196,All
10002681,Glasgow School of Art,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7092,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7092,All
10007794,The University of Glasgow,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,34307,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,34307,All
10007764,Heriot-Watt University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15305,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,15305,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7677,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,7677,All
10005500,Robert Gordon University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,41437,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,41437,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,3153,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,3153,All
10007803,The University of St. Andrews,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,9848,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,9848,All
10005700,SRUC,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,5058,"07, July"
10005700,SRUC,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,5058,All
10007804,The University of Stirling,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,8282,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,8282,All
10007805,The University of Strathclyde,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,22180,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,22180,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,11084,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,11084,All
10007800,The University of the West of Scotland,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,43394,"07, July"
10007800,The University of the West of Scotland,Scotland,Scotland,2017/18,31/07/2018,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,43394,All
,Total,Scotland,Scotland,2017/18,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,402645,All
,Total,Scotland,Scotland,2017/18,,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,402645,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-9407,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-9407,All
10007849,Abertay University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4156,"07, July"
10007849,Abertay University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4156,All
10007852,The University of Dundee,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-8032,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-8032,All
10007772,Edinburgh Napier University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-9706,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-9706,All
10007790,The University of Edinburgh,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-69991,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-69991,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-12824,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-12824,All
10002681,Glasgow School of Art,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4422,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4422,All
10007794,The University of Glasgow,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,32661,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,32661,All
10007764,Heriot-Watt University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-6976,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-6976,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-7359,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-7359,All
10005500,Robert Gordon University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-29067,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-29067,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-2013,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-2013,All
10007803,The University of St. Andrews,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-13035,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-13035,All
10005700,SRUC,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4722,"07, July"
10005700,SRUC,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-4722,All
10007804,The University of Stirling,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-1370,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-1370,All
10007805,The University of Strathclyde,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,3254,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,3254,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-6741,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-6741,All
10007800,The University of the West of Scotland,Scotland,Scotland,2018/19,31/07/2019,Actuarial gain/(loss) in respect of pension schemes,Actuarial gain/(loss) in respect of pension schemes,-14476,"07, July"
