UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic year,Financial year end,Category marker,Category,Value(£000s),Year End Month
10007852,The University of Dundee,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-1104,All
10007772,Edinburgh Napier University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-76,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-76,All
10007790,The University of Edinburgh,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,27912,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,27912,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-101,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-101,All
10002681,Glasgow School of Art,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-105,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-105,All
10007794,The University of Glasgow,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-24737,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-24737,All
10007764,Heriot-Watt University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,65,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,65,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,179,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,179,All
10005500,Robert Gordon University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,115,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,115,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
10007803,The University of St. Andrews,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,5676,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,5676,All
10005700,SRUC,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-850,"07, July"
10005700,SRUC,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-850,All
10007804,The University of Stirling,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-54,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-54,All
10007805,The University of Strathclyde,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-1512,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-1512,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
10007800,The University of the West of Scotland,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10007800,The University of the West of Scotland,Scotland,Scotland,2019/20,31/07/2020,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
,Total,Scotland,Scotland,2019/20,,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,5060,All
,Total,Scotland,Scotland,2019/20,,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,5060,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,6480,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,6480,All
10007849,Abertay University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-50,"07, July"
10007849,Abertay University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-50,All
10007852,The University of Dundee,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,4812,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,4812,All
10007772,Edinburgh Napier University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,135,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,135,All
10007790,The University of Edinburgh,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,77461,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,77461,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-12,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-12,All
10002681,Glasgow School of Art,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,560,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,560,All
10007794,The University of Glasgow,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,47970,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,47970,All
10007764,Heriot-Watt University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,1513,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,1513,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,227,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,227,All
10005500,Robert Gordon University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,337,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,337,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
10007803,The University of St. Andrews,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,22160,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,22160,All
10005700,SRUC,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,1030,"07, July"
10005700,SRUC,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,1030,All
10007804,The University of Stirling,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,85,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,85,All
10007805,The University of Strathclyde,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,5812,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,5812,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
10007800,The University of the West of Scotland,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10007800,The University of the West of Scotland,Scotland,Scotland,2020/21,31/07/2021,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
,Total,Scotland,Scotland,2020/21,,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,168520,All
,Total,Scotland,Scotland,2020/21,,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,168520,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-339,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-339,All
10007849,Abertay University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-9,"07, July"
10007849,Abertay University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-9,All
10007852,The University of Dundee,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-1046,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-1046,All
10007772,Edinburgh Napier University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-133,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-133,All
10007790,The University of Edinburgh,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-24278,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-24278,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-99,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-99,All
10002681,Glasgow School of Art,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,413,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,413,All
10007794,The University of Glasgow,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,630,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,630,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,171,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,171,All
10005500,Robert Gordon University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-286,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-286,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
10007803,The University of St. Andrews,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-4615,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-4615,All
10005700,SRUC,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,358,"07, July"
10005700,SRUC,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,358,All
10007804,The University of Stirling,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,9,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,9,All
10007805,The University of Strathclyde,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-380,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-380,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
10007800,The University of the West of Scotland,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,"07, July"
10007800,The University of the West of Scotland,Scotland,Scotland,2021/22,31/07/2022,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,0,All
,Year to date total,Scotland,Scotland,2021/22,,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-29604,All
,Year to date total,Scotland,Scotland,2021/22,,Total comprehensive income for the year represented by:,Endowment comprehensive income for the year,-29604,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,,Income,Funding body grants,77566,All
10007849,Abertay University,Scotland,Scotland,2015/16,,Income,Funding body grants,21066,All
10007852,The University of Dundee,Scotland,Scotland,2015/16,,Income,Funding body grants,81630,All
10007772,Edinburgh Napier University,Scotland,Scotland,2015/16,,Income,Funding body grants,57575,All
10007790,The University of Edinburgh,Scotland,Scotland,2015/16,,Income,Funding body grants,194514,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2015/16,,Income,Funding body grants,67699,All
10002681,Glasgow School of Art,Scotland,Scotland,2015/16,,Income,Funding body grants,14669,All
10007794,The University of Glasgow,Scotland,Scotland,2015/16,,Income,Funding body grants,158693,All
10007764,Heriot-Watt University,Scotland,Scotland,2015/16,,Income,Funding body grants,45453,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2015/16,,Income,Funding body grants,15313,All
10005500,Robert Gordon University,Scotland,Scotland,2015/16,,Income,Funding body grants,43972,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2015/16,,Income,Funding body grants,11381,All
10007803,The University of St. Andrews,Scotland,Scotland,2015/16,,Income,Funding body grants,40046,All
10005700,SRUC,Scotland,Scotland,2015/16,,Income,Funding body grants,21359,All
10007804,The University of Stirling,Scotland,Scotland,2015/16,,Income,Funding body grants,42235,All
10007805,The University of Strathclyde,Scotland,Scotland,2015/16,,Income,Funding body grants,101724,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2015/16,,Income,Funding body grants,76223,All
10007800,The University of the West of Scotland,Scotland,Scotland,2015/16,,Income,Funding body grants,70914,All
,Total,Scotland,Scotland,2015/16,,Income,Funding body grants,1142032,All
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,,Income,Funding body grants,74300,All
10007849,Abertay University,Scotland,Scotland,2016/17,,Income,Funding body grants,20617,All
10007852,The University of Dundee,Scotland,Scotland,2016/17,,Income,Funding body grants,81654,All
10007772,Edinburgh Napier University,Scotland,Scotland,2016/17,,Income,Funding body grants,59626,All
10007790,The University of Edinburgh,Scotland,Scotland,2016/17,,Income,Funding body grants,191844,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2016/17,,Income,Funding body grants,66713,All
10002681,Glasgow School of Art,Scotland,Scotland,2016/17,,Income,Funding body grants,14329,All
10007794,The University of Glasgow,Scotland,Scotland,2016/17,,Income,Funding body grants,160362,All
10007764,Heriot-Watt University,Scotland,Scotland,2016/17,,Income,Funding body grants,47428,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2016/17,,Income,Funding body grants,15681,All
10005500,Robert Gordon University,Scotland,Scotland,2016/17,,Income,Funding body grants,43768,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2016/17,,Income,Funding body grants,11669,All
10007803,The University of St. Andrews,Scotland,Scotland,2016/17,,Income,Funding body grants,40136,All
10005700,SRUC,Scotland,Scotland,2016/17,,Income,Funding body grants,23958,All
10007804,The University of Stirling,Scotland,Scotland,2016/17,,Income,Funding body grants,44698,All
10007805,The University of Strathclyde,Scotland,Scotland,2016/17,,Income,Funding body grants,104330,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2016/17,,Income,Funding body grants,78243,All
10007800,The University of the West of Scotland,Scotland,Scotland,2016/17,,Income,Funding body grants,71614,All
,Total,Scotland,Scotland,2016/17,,Income,Funding body grants,1150970,All
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,74752,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,74752,All
10007849,Abertay University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,19475,"07, July"
10007849,Abertay University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,19475,All
10007852,The University of Dundee,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,78528,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,78528,All
10007772,Edinburgh Napier University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,57104,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,57104,All
10007790,The University of Edinburgh,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,186652,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,186652,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,65938,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,65938,All
10002681,Glasgow School of Art,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,14072,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,14072,All
10007794,The University of Glasgow,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,158427,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,158427,All
10007764,Heriot-Watt University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,47280,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,47280,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,15426,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,15426,All
10005500,Robert Gordon University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,43158,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,43158,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,12035,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,12035,All
10007803,The University of St. Andrews,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,38253,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,38253,All
10005700,SRUC,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,24482,"07, July"
10005700,SRUC,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,24482,All
10007804,The University of Stirling,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,44463,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,44463,All
10007805,The University of Strathclyde,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,101168,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,101168,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,83114,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,83114,All
10007800,The University of the West of Scotland,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,69037,"07, July"
10007800,The University of the West of Scotland,Scotland,Scotland,2017/18,31/07/2018,Income,Funding body grants,69037,All
,Total,Scotland,Scotland,2017/18,,Income,Funding body grants,1133364,All
,Total,Scotland,Scotland,2017/18,,Income,Funding body grants,1133364,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,77618,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,77618,All
10007849,Abertay University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,19706,"07, July"
10007849,Abertay University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,19706,All
10007852,The University of Dundee,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,81069,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,81069,All
10007772,Edinburgh Napier University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,59076,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,59076,All
10007790,The University of Edinburgh,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,195819,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,195819,All
10007762,Glasgow Caledonian University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,68270,"07, July"
10007762,Glasgow Caledonian University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,68270,All
10002681,Glasgow School of Art,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,14551,"07, July"
10002681,Glasgow School of Art,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,14551,All
10007794,The University of Glasgow,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,162824,"07, July"
10007794,The University of Glasgow,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,162824,All
10007764,Heriot-Watt University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,48104,"07, July"
10007764,Heriot-Watt University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,48104,All
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,16171,"07, July"
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,16171,All
10005500,Robert Gordon University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,44542,"07, July"
10005500,Robert Gordon University,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,44542,All
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,12247,"07, July"
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,12247,All
10007803,The University of St. Andrews,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,39005,"07, July"
10007803,The University of St. Andrews,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,39005,All
10005700,SRUC,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,26238,"07, July"
10005700,SRUC,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,26238,All
10007804,The University of Stirling,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,45923,"07, July"
10007804,The University of Stirling,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,45923,All
10007805,The University of Strathclyde,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,112505,"07, July"
10007805,The University of Strathclyde,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,112505,All
10007114,University of the Highlands and Islands,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,101472,"07, July"
10007114,University of the Highlands and Islands,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,101472,All
10007800,The University of the West of Scotland,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,77289,"07, July"
10007800,The University of the West of Scotland,Scotland,Scotland,2018/19,31/07/2019,Income,Funding body grants,77289,All
,Total,Scotland,Scotland,2018/19,,Income,Funding body grants,1202429,All
,Total,Scotland,Scotland,2018/19,,Income,Funding body grants,1202429,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,77279,"07, July"
10007783,The University of Aberdeen,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,77279,All
10007849,Abertay University,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,19515,"07, July"
10007849,Abertay University,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,19515,All
10007852,The University of Dundee,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,82055,"07, July"
10007852,The University of Dundee,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,82055,All
10007772,Edinburgh Napier University,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,59950,"07, July"
10007772,Edinburgh Napier University,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,59950,All
10007790,The University of Edinburgh,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,190823,"07, July"
10007790,The University of Edinburgh,Scotland,Scotland,2019/20,31/07/2020,Income,Funding body grants,190823,All
