UKPRN,HE Provider,Country of HE provider,Region of HE provider,Mode of employment,Atypical marker,Academic marker,Contract marker,Academic Year,Activity standard occupational classification,Number
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Professional occupations,1655
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Associate professional and technical occupations,10
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2014/15,Total academic staff,1665
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,"Managers, directors and senior officials ",55
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Professional occupations ,325
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Associate professional and technical occupations ,445
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Administrative and secretarial occupations,585
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,"Caring, leisure and other service occupations",65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Sales and customer service occupations,35
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,"Process, plant and machine operatives",25
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Elementary occupations,285
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2014/15,Total non-academic staff,1880
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Professional occupations,1655
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Associate professional and technical occupations,10
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2014/15,Total academic staff,1665
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Managers, directors and senior officials ",55
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Professional occupations ,325
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Associate professional and technical occupations ,445
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Administrative and secretarial occupations,585
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Caring, leisure and other service occupations",65
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Sales and customer service occupations,35
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Process, plant and machine operatives",25
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Elementary occupations,285
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2014/15,Total non-academic staff,1880
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,All,All (excluding atypical),2014/15,Total,3545
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2014/15,"Managers, directors and senior officials  ",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2014/15,Professional occupations  ,315
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2014/15,Associate professional and technical occupations  ,5
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2014/15,Clerical and manual occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2014/15,Total academic atypical staff,320
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2014/15,Professional occupations,1255
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2014/15,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2014/15,Total academic staff,1260
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,"Managers, directors and senior officials ",45
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,Professional occupations ,260
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,Associate professional and technical occupations ,320
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,Administrative and secretarial occupations,360
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,"Caring, leisure and other service occupations",25
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,Sales and customer service occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,"Process, plant and machine operatives",20
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,Elementary occupations,85
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2014/15,Total non-academic staff,1185
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2014/15,Professional occupations,1255
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2014/15,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2014/15,Total academic staff,1260
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Managers, directors and senior officials ",45
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Professional occupations ,260
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Associate professional and technical occupations ,320
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Administrative and secretarial occupations,360
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Caring, leisure and other service occupations",25
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Sales and customer service occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Process, plant and machine operatives",20
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Elementary occupations,85
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Total non-academic staff,1185
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,All,All (excluding atypical),2014/15,Total,2445
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2014/15,"Managers, directors and senior officials  ",0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2014/15,Professional occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2014/15,Associate professional and technical occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2014/15,Clerical and manual occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2014/15,Total academic atypical staff,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2014/15,Professional occupations,400
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2014/15,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2014/15,Total academic staff,405
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,"Managers, directors and senior officials ",10
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,Professional occupations ,65
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,Associate professional and technical occupations ,125
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,Administrative and secretarial occupations,225
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,Skilled trades occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,"Caring, leisure and other service occupations",40
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,Sales and customer service occupations,30
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,"Process, plant and machine operatives",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,Elementary occupations,195
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2014/15,Total non-academic staff,700
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2014/15,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2014/15,Professional occupations,400
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2014/15,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2014/15,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2014/15,Total academic staff,405
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Managers, directors and senior officials ",10
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Professional occupations ,65
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Associate professional and technical occupations ,125
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Administrative and secretarial occupations,225
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Skilled trades occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Caring, leisure and other service occupations",40
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Sales and customer service occupations,30
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,"Process, plant and machine operatives",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Elementary occupations,195
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2014/15,Total non-academic staff,700
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,All,All (excluding atypical),2014/15,Total,1100
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2014/15,"Managers, directors and senior officials  ",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2014/15,Professional occupations  ,315
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2014/15,Associate professional and technical occupations  ,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2014/15,Clerical and manual occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2014/15,Total academic atypical staff,320
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2015/16,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2015/16,Professional occupations,1555
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2015/16,Associate professional and technical occupations,10
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2015/16,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,Academic,2015/16,Total academic staff,1565
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,"Managers, directors and senior officials ",55
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,Professional occupations ,335
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,Associate professional and technical occupations ,425
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,Administrative and secretarial occupations,585
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,Skilled trades occupations,70
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,"Caring, leisure and other service occupations",75
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,Sales and customer service occupations,25
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,"Process, plant and machine operatives",20
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,Elementary occupations,255
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,Non-academic,2015/16,Total non-academic staff,1845
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2015/16,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2015/16,Professional occupations,1555
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2015/16,Associate professional and technical occupations,10
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2015/16,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Academic,All (excluding atypical),2015/16,Total academic staff,1565
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Managers, directors and senior officials ",55
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,Professional occupations ,335
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,Associate professional and technical occupations ,425
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,Administrative and secretarial occupations,585
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,Skilled trades occupations,70
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Caring, leisure and other service occupations",75
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,Sales and customer service occupations,25
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Process, plant and machine operatives",20
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,Elementary occupations,255
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,Non-academic,All (excluding atypical),2015/16,Total non-academic staff,1845
10007783,The University of Aberdeen,Scotland,Scotland,All,Non-atypical,All,All (excluding atypical),2015/16,Total,3410
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2015/16,"Managers, directors and senior officials  ",0
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2015/16,Professional occupations  ,275
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2015/16,Associate professional and technical occupations  ,5
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2015/16,Clerical and manual occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,All,Academic atypical,Academic,Academic,2015/16,Total academic atypical staff,280
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2015/16,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2015/16,Professional occupations,1165
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2015/16,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2015/16,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,Academic,2015/16,Total academic staff,1170
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,"Managers, directors and senior officials ",45
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,Professional occupations ,255
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,Associate professional and technical occupations ,295
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,Administrative and secretarial occupations,320
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,"Caring, leisure and other service occupations",25
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,Sales and customer service occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,"Process, plant and machine operatives",20
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,Elementary occupations,80
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,Non-academic,2015/16,Total non-academic staff,1110
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2015/16,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2015/16,Professional occupations,1165
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2015/16,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2015/16,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Academic,All (excluding atypical),2015/16,Total academic staff,1170
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Managers, directors and senior officials ",45
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Professional occupations ,255
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Associate professional and technical occupations ,295
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Administrative and secretarial occupations,320
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Skilled trades occupations,65
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Caring, leisure and other service occupations",25
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Sales and customer service occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Process, plant and machine operatives",20
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Elementary occupations,80
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Total non-academic staff,1110
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Non-atypical,All,All (excluding atypical),2015/16,Total,2280
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2015/16,"Managers, directors and senior officials  ",0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2015/16,Professional occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2015/16,Associate professional and technical occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2015/16,Clerical and manual occupations  ,0
10007783,The University of Aberdeen,Scotland,Scotland,Full-time,Academic atypical,Academic,Academic,2015/16,Total academic atypical staff,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2015/16,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2015/16,Professional occupations,390
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2015/16,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2015/16,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,Academic,2015/16,Total academic staff,395
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,"Managers, directors and senior officials ",10
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,Professional occupations ,80
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,Associate professional and technical occupations ,125
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,Administrative and secretarial occupations,265
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,Skilled trades occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,"Caring, leisure and other service occupations",50
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,Sales and customer service occupations,20
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,"Process, plant and machine operatives",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,Elementary occupations,175
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,Non-academic,2015/16,Total non-academic staff,735
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2015/16,"Managers, directors and senior officials",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2015/16,Professional occupations,390
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2015/16,Associate professional and technical occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2015/16,Clerical and manual occupations,0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Academic,All (excluding atypical),2015/16,Total academic staff,395
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Managers, directors and senior officials ",10
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Professional occupations ,80
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Associate professional and technical occupations ,125
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Administrative and secretarial occupations,265
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Skilled trades occupations,5
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Caring, leisure and other service occupations",50
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Sales and customer service occupations,20
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,"Process, plant and machine operatives",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Elementary occupations,175
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,Non-academic,All (excluding atypical),2015/16,Total non-academic staff,735
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Non-atypical,All,All (excluding atypical),2015/16,Total,1130
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2015/16,"Managers, directors and senior officials  ",0
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2015/16,Professional occupations  ,275
10007783,The University of Aberdeen,Scotland,Scotland,Part-time,Academic atypical,Academic,Academic,2015/16,Associate professional and technical occupations  ,5
