UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,10
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,25
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,35
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,5
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,30
10007803,The University of St. Andrews,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,285
10007803,The University of St. Andrews,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,15
10007803,The University of St. Andrews,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,620
10007803,The University of St. Andrews,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,60
10007803,The University of St. Andrews,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,900
10007803,The University of St. Andrews,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,75
10007803,The University of St. Andrews,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,980
10007803,The University of St. Andrews,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,300
10007803,The University of St. Andrews,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,680
10007804,The University of Stirling,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,110
10007804,The University of Stirling,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,45
10007804,The University of Stirling,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,245
10007804,The University of Stirling,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,125
10007804,The University of Stirling,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,355
10007804,The University of Stirling,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,170
10007804,The University of Stirling,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,525
10007804,The University of Stirling,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,155
10007804,The University of Stirling,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,370
10007805,The University of Strathclyde,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,495
10007805,The University of Strathclyde,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,45
10007805,The University of Strathclyde,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,995
10007805,The University of Strathclyde,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,150
10007805,The University of Strathclyde,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,1490
10007805,The University of Strathclyde,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,195
10007805,The University of Strathclyde,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,1685
10007805,The University of Strathclyde,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,540
10007805,The University of Strathclyde,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,1145
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,25
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,5
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,75
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,20
10007114,University of the Highlands and Islands,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,100
10007114,University of the Highlands and Islands,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,25
10007114,University of the Highlands and Islands,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,125
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,30
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,95
10007800,The University of the West of Scotland,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,55
10007800,The University of the West of Scotland,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,10
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,230
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,100
10007800,The University of the West of Scotland,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,280
10007800,The University of the West of Scotland,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,105
10007800,The University of the West of Scotland,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,390
10007800,The University of the West of Scotland,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,60
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,325
,Total,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,13420
,Total,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,10880
,Total,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,2540
,Total,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,4510
,Total,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,3845
,Total,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,665
,Total,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,8910
,Total,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,7035
,Total,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,1875
10007783,The University of Aberdeen,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,1880
10007783,The University of Aberdeen,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,680
10007783,The University of Aberdeen,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,260
10007783,The University of Aberdeen,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,670
10007783,The University of Aberdeen,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,2140
10007783,The University of Aberdeen,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1355
10007783,The University of Aberdeen,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,3495
10007783,The University of Aberdeen,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,2560
10007783,The University of Aberdeen,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,930
10007849,Abertay University,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,165
10007849,Abertay University,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,85
10007849,Abertay University,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,0
10007849,Abertay University,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,95
10007849,Abertay University,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,165
10007849,Abertay University,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,180
10007849,Abertay University,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,345
10007849,Abertay University,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,250
10007849,Abertay University,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,95
10007852,The University of Dundee,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,1485
10007852,The University of Dundee,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,900
10007852,The University of Dundee,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,205
10007852,The University of Dundee,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,1240
10007852,The University of Dundee,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,1690
10007852,The University of Dundee,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,2140
10007852,The University of Dundee,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,3830
10007852,The University of Dundee,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,2385
10007852,The University of Dundee,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,1445
10007772,Edinburgh Napier University,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,1140
10007772,Edinburgh Napier University,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,495
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,760
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,595
10007772,Edinburgh Napier University,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,1895
10007772,Edinburgh Napier University,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1090
10007772,Edinburgh Napier University,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,2985
10007772,Edinburgh Napier University,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,1635
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,1350
10007790,The University of Edinburgh,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,5370
10007790,The University of Edinburgh,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,1130
10007790,The University of Edinburgh,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,410
10007790,The University of Edinburgh,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,1035
10007790,The University of Edinburgh,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,5780
10007790,The University of Edinburgh,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,2165
10007790,The University of Edinburgh,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,7945
10007790,The University of Edinburgh,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,6500
10007790,The University of Edinburgh,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,1445
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,1060
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,565
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,630
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,380
10007762,Glasgow Caledonian University,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,1695
10007762,Glasgow Caledonian University,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,945
10007762,Glasgow Caledonian University,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,2640
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,1630
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,1010
10002681,Glasgow School of Art,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,455
10002681,Glasgow School of Art,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,30
10002681,Glasgow School of Art,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,110
10002681,Glasgow School of Art,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,25
10002681,Glasgow School of Art,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,565
10002681,Glasgow School of Art,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,60
10002681,Glasgow School of Art,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,620
10002681,Glasgow School of Art,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,485
10002681,Glasgow School of Art,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,140
10007794,The University of Glasgow,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,5910
10007794,The University of Glasgow,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,595
10007794,The University of Glasgow,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,215
10007794,The University of Glasgow,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,540
10007794,The University of Glasgow,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,6130
10007794,The University of Glasgow,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1135
10007794,The University of Glasgow,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,7265
10007794,The University of Glasgow,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,6510
10007794,The University of Glasgow,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,755
10007764,Heriot-Watt University,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,1110
10007764,Heriot-Watt University,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,255
10007764,Heriot-Watt University,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,100
10007764,Heriot-Watt University,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,765
10007764,Heriot-Watt University,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,1215
10007764,Heriot-Watt University,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1020
10007764,Heriot-Watt University,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,2235
10007764,Heriot-Watt University,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,1365
10007764,Heriot-Watt University,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,870
10007773,The Open University,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,355
10007773,The Open University,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,335
10007773,The Open University,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,690
10007773,The Open University,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,690
10007773,The Open University,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,355
10007773,The Open University,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,335
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,380
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,560
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,220
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,440
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,600
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1000
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,1600
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,940
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,655
10005500,Robert Gordon University,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,560
10005500,Robert Gordon University,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,945
10005500,Robert Gordon University,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,480
10005500,Robert Gordon University,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,1010
10005500,Robert Gordon University,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,1040
10005500,Robert Gordon University,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1960
10005500,Robert Gordon University,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,3000
10005500,Robert Gordon University,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,1505
10005500,Robert Gordon University,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,1490
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,150
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,30
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,70
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,85
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,220
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,115
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,335
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,180
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,155
10007803,The University of St. Andrews,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,915
10007803,The University of St. Andrews,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,70
10007803,The University of St. Andrews,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,40
10007803,The University of St. Andrews,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,120
10007803,The University of St. Andrews,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,955
10007803,The University of St. Andrews,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,185
10007803,The University of St. Andrews,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,1140
10007803,The University of St. Andrews,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,985
10007803,The University of St. Andrews,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,155
10005700,SRUC,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,30
10005700,SRUC,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,45
10005700,SRUC,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,80
10005700,SRUC,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,80
10005700,SRUC,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,30
10005700,SRUC,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,45
10007804,The University of Stirling,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,1090
10007804,The University of Stirling,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,750
10007804,The University of Stirling,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,1030
10007804,The University of Stirling,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,540
10007804,The University of Stirling,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,2120
10007804,The University of Stirling,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1290
10007804,The University of Stirling,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,3410
10007804,The University of Stirling,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,1840
10007804,The University of Stirling,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,1570
10007805,The University of Strathclyde,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,3225
10007805,The University of Strathclyde,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,885
10007805,The University of Strathclyde,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,230
10007805,The University of Strathclyde,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,1560
10007805,The University of Strathclyde,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,3455
10007805,The University of Strathclyde,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,2445
10007805,The University of Strathclyde,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,5905
10007805,The University of Strathclyde,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,4115
10007805,The University of Strathclyde,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,1790
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,240
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,400
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,25
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,300
10007114,University of the Highlands and Islands,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,265
10007114,University of the Highlands and Islands,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,700
10007114,University of the Highlands and Islands,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,965
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,640
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,325
10007800,The University of the West of Scotland,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,850
10007800,The University of the West of Scotland,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,590
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,540
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,445
10007800,The University of the West of Scotland,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,1385
10007800,The University of the West of Scotland,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,1035
10007800,The University of the West of Scotland,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,2420
10007800,The University of the West of Scotland,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,1435
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,985
,Total,Scotland,Scotland,All,Postgraduate (taught),All,2018/19,Total,Total,50900
,Total,Scotland,Scotland,All,Postgraduate (taught),Full-time,2018/19,Total,Total,31310
,Total,Scotland,Scotland,All,Postgraduate (taught),Part-time,2018/19,Total,Total,19590
,Total,Scotland,Scotland,First year,Postgraduate (taught),All,2018/19,Total,Total,35345
,Total,Scotland,Scotland,First year,Postgraduate (taught),Full-time,2018/19,Total,Total,25985
,Total,Scotland,Scotland,First year,Postgraduate (taught),Part-time,2018/19,Total,Total,9360
,Total,Scotland,Scotland,Other years,Postgraduate (taught),All,2018/19,Total,Total,15550
,Total,Scotland,Scotland,Other years,Postgraduate (taught),Full-time,2018/19,Total,Total,5325
,Total,Scotland,Scotland,Other years,Postgraduate (taught),Part-time,2018/19,Total,Total,10225
10007783,The University of Aberdeen,Scotland,Scotland,All,All postgraduate,All,2018/19,Total,Total,4590
10007783,The University of Aberdeen,Scotland,Scotland,All,All postgraduate,Full-time,2018/19,Total,Total,3045
10007783,The University of Aberdeen,Scotland,Scotland,All,All postgraduate,Part-time,2018/19,Total,Total,1550
10007783,The University of Aberdeen,Scotland,Scotland,First year,All postgraduate,All,2018/19,Total,Total,2870
10007783,The University of Aberdeen,Scotland,Scotland,First year,All postgraduate,Full-time,2018/19,Total,Total,2155
10007783,The University of Aberdeen,Scotland,Scotland,First year,All postgraduate,Part-time,2018/19,Total,Total,715
10007783,The University of Aberdeen,Scotland,Scotland,Other years,All postgraduate,All,2018/19,Total,Total,1725
10007783,The University of Aberdeen,Scotland,Scotland,Other years,All postgraduate,Full-time,2018/19,Total,Total,890
10007783,The University of Aberdeen,Scotland,Scotland,Other years,All postgraduate,Part-time,2018/19,Total,Total,835
10007849,Abertay University,Scotland,Scotland,All,All postgraduate,All,2018/19,Total,Total,425
10007849,Abertay University,Scotland,Scotland,All,All postgraduate,Full-time,2018/19,Total,Total,220
10007849,Abertay University,Scotland,Scotland,All,All postgraduate,Part-time,2018/19,Total,Total,210
10007849,Abertay University,Scotland,Scotland,First year,All postgraduate,All,2018/19,Total,Total,280
10007849,Abertay University,Scotland,Scotland,First year,All postgraduate,Full-time,2018/19,Total,Total,190
10007849,Abertay University,Scotland,Scotland,First year,All postgraduate,Part-time,2018/19,Total,Total,90
10007849,Abertay University,Scotland,Scotland,Other years,All postgraduate,All,2018/19,Total,Total,145
10007849,Abertay University,Scotland,Scotland,Other years,All postgraduate,Full-time,2018/19,Total,Total,25
10007849,Abertay University,Scotland,Scotland,Other years,All postgraduate,Part-time,2018/19,Total,Total,120
10007852,The University of Dundee,Scotland,Scotland,All,All postgraduate,All,2018/19,Total,Total,4485
10007852,The University of Dundee,Scotland,Scotland,All,All postgraduate,Full-time,2018/19,Total,Total,2185
10007852,The University of Dundee,Scotland,Scotland,All,All postgraduate,Part-time,2018/19,Total,Total,2300
10007852,The University of Dundee,Scotland,Scotland,First year,All postgraduate,All,2018/19,Total,Total,2590
10007852,The University of Dundee,Scotland,Scotland,First year,All postgraduate,Full-time,2018/19,Total,Total,1650
10007852,The University of Dundee,Scotland,Scotland,First year,All postgraduate,Part-time,2018/19,Total,Total,940
10007852,The University of Dundee,Scotland,Scotland,Other years,All postgraduate,All,2018/19,Total,Total,1895
10007852,The University of Dundee,Scotland,Scotland,Other years,All postgraduate,Full-time,2018/19,Total,Total,535
10007852,The University of Dundee,Scotland,Scotland,Other years,All postgraduate,Part-time,2018/19,Total,Total,1360
10007772,Edinburgh Napier University,Scotland,Scotland,All,All postgraduate,All,2018/19,Total,Total,3200
10007772,Edinburgh Napier University,Scotland,Scotland,All,All postgraduate,Full-time,2018/19,Total,Total,2015
